mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__kernel,param_svm__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.3227438926696777,0.08922206553853317,0.5138235092163086,0.021133600849755917,0.1,linear,,"{'svm__C': 0.1, 'svm__kernel': 'linear'}",0.6708074534161491,0.6395348837209303,0.6867469879518072,0.48717948717948717,0.6068965517241379,0.6182330727985024,0.07101485510681321,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.4179955959320067,0.1668856642465864,0.5052127361297607,0.03127949181894142,1.0,linear,,"{'svm__C': 1, 'svm__kernel': 'linear'}",0.6708074534161491,0.6395348837209303,0.6867469879518072,0.48717948717948717,0.6068965517241379,0.6182330727985024,0.07101485510681321,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.55271635055542,0.10794712147697165,0.48916068077087405,0.03283673334997069,10.0,linear,,"{'svm__C': 10, 'svm__kernel': 'linear'}",0.6708074534161491,0.6395348837209303,0.6867469879518072,0.48717948717948717,0.6068965517241379,0.6182330727985024,0.07101485510681321,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.409517192840576,0.27942519355962314,0.495652437210083,0.10884947971780044,100.0,linear,,"{'svm__C': 100, 'svm__kernel': 'linear'}",0.6708074534161491,0.6395348837209303,0.6867469879518072,0.48717948717948717,0.6068965517241379,0.6182330727985024,0.07101485510681321,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.611141633987427,0.6274755507889475,0.9870692729949951,0.15174497495156833,0.1,rbf,scale,"{'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.7272727272727273,0.6708860759493671,0.7125,0.6540880503144654,0.6538461538461539,0.6837186014765427,0.03052977948115696,6,0.8670886075949367,0.8580645161290322,0.8589540412044374,0.8557993730407524,0.8589951377633711,0.8597803351465061,0.003834116247007722
2.36106915473938,0.05211107658352075,0.6704163551330566,0.026191736022451943,0.1,rbf,0.001,"{'svm__C': 0.1, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.4778761061946903,0.4727272727272727,0.45454545454545453,0.48214285714285715,0.27722772277227725,0.4329038826765104,0.0784044696242362,16,0.8765217391304347,0.8651488616462347,0.8666666666666667,0.8571428571428571,0.8309352517985612,0.8592830752769508,0.015454941168553296
2.236384963989258,0.0828086855755267,0.6894145488739014,0.0750488956911499,0.1,rbf,0.01,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.04878048780487805,0.07228915662650602,0.024691358024691357,0.0,0.024691358024691357,0.03409047209615336,0.024551101970246885,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.1061847686767576,0.06422671526539869,0.6695487022399902,0.04849373994478843,0.1,rbf,0.1,"{'svm__C': 0.1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.6542056074766355,0.6883720930232559,0.6985645933014354,0.663594470046083,0.641860465116279,0.6693194457927378,0.02113518911687924,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.0594772338867187,0.03144227814333438,0.6161924839019776,0.030523769860899004,1.0,rbf,scale,"{'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.7283950617283951,0.691358024691358,0.7133757961783439,0.6535947712418301,0.7058823529411765,0.6985212013562208,0.025444010282491145,3,0.9937888198757764,0.9875389408099688,0.986046511627907,0.9891472868217054,0.9845201238390093,0.9882083365948734,0.0031858409380906383
2.1317118644714355,0.08452418700017658,0.6638484477996827,0.03589728437336965,1.0,rbf,0.001,"{'svm__C': 1, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.7169811320754716,0.6751592356687898,0.7105263157894737,0.6533333333333333,0.6530612244897959,0.6818122482713729,0.02736158110448766,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.2183939933776857,0.058230999889721406,0.6548387050628662,0.03823543572367589,1.0,rbf,0.01,"{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.2857142857142857,0.21739130434782608,0.28865979381443296,0.21505376344086022,0.13793103448275862,0.2289500363600327,0.05549523318182289,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.1578288078308105,0.022459408458228674,0.6337436676025391,0.015406481966515536,1.0,rbf,0.1,"{'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.6542056074766355,0.6883720930232559,0.6985645933014354,0.663594470046083,0.641860465116279,0.6693194457927378,0.02113518911687924,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.181934118270874,0.09127939810267624,0.7275944232940674,0.046925247871546026,10.0,rbf,scale,"{'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.7453416149068323,0.7272727272727273,0.7051282051282052,0.6363636363636364,0.7189542483660131,0.7066120864074829,0.03745988269540871,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.3105212211608888,0.024862859924627837,0.7170761108398438,0.08212999858043568,10.0,rbf,0.001,"{'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.7215189873417721,0.6918238993710691,0.7320261437908496,0.6442953020134228,0.7019867549668874,0.6983302174968002,0.030491339848738034,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.246521520614624,0.1232650029057609,0.7633508205413818,0.055632442318530685,10.0,rbf,0.01,"{'svm__C': 10, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.30303030303030304,0.2553191489361702,0.28865979381443296,0.23404255319148937,0.13636363636363635,0.2434830870672064,0.0588057795134792,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.0827858448028564,0.1770716404793761,0.7159262657165527,0.05482069555327666,10.0,rbf,0.1,"{'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.6542056074766355,0.6883720930232559,0.6985645933014354,0.663594470046083,0.641860465116279,0.6693194457927378,0.02113518911687924,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.1113330841064455,0.12523597795997538,0.7653580188751221,0.11998682085129632,100.0,rbf,scale,"{'svm__C': 100, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.7453416149068323,0.7272727272727273,0.7051282051282052,0.6363636363636364,0.7189542483660131,0.7066120864074829,0.03745988269540871,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.085513782501221,0.13086194096447826,0.7304657936096192,0.08273414732669584,100.0,rbf,0.001,"{'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.7215189873417721,0.6918238993710691,0.7320261437908496,0.6442953020134228,0.7019867549668874,0.6983302174968002,0.030491339848738034,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.9753546237945556,0.1016456558735039,0.7431731700897217,0.0800909862056517,100.0,rbf,0.01,"{'svm__C': 100, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.30303030303030304,0.2553191489361702,0.28865979381443296,0.23404255319148937,0.13636363636363635,0.2434830870672064,0.0588057795134792,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.924839448928833,0.12435157841048879,0.6620440006256103,0.1088450217595783,100.0,rbf,0.1,"{'svm__C': 100, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.6542056074766355,0.6883720930232559,0.6985645933014354,0.663594470046083,0.641860465116279,0.6693194457927378,0.02113518911687924,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
